Altitude,Density
361,1.944E-15
362,1.898E-15
363,1.854E-15
364,1.81E-15
365,1.768E-15
366,1.726E-15
367,1.686E-15
368,1.647E-15
369,1.608E-15
370,1.571E-15
371,1.535E-15
372,1.499E-15
373,1.464E-15
374,1.43E-15
375,1.397E-15
376,1.365E-15
377,1.334E-15
378,1.303E-15
379,1.273E-15
380,1.244E-15
381,1.215E-15
382,1.187E-15
383,1.16E-15
384,1.134E-15
385,1.108E-15
386,1.082E-15
387,1.058E-15
388,1.034E-15
389,1.01E-15
390,9.872E-16
391,9.648E-16
392,9.429E-16
393,9.216E-16
394,9.007E-16
395,8.804E-16
396,8.605E-16
397,8.411E-16
398,8.222E-16
399,8.037E-16
400,7.857E-16
401,7.67E-16
402,7.499E-16
403,7.331E-16
404,7.167E-16
405,7.007E-16
406,6.851E-16
407,6.698E-16
408,6.549E-16
409,6.404E-16
410,6.261E-16
411,6.123E-16
412,5.987E-16
413,5.854E-16
414,5.725E-16
415,5.598E-16
416,5.475E-16
417,5.354E-16
418,5.236E-16
419,5.121E-16
420,5.008E-16
421,4.898E-16
422,4.791E-16
423,4.686E-16
424,4.583E-16
425,4.483E-16
426,4.385E-16
427,4.29E-16
428,4.196E-16
429,4.105E-16
430,4.015E-16
431,3.928E-16
432,3.843E-16
433,3.759E-16
434,3.678E-16
435,3.598E-16
436,3.52E-16
437,3.444E-16
438,3.37E-16
439,3.297E-16
440,3.226E-16
441,3.157E-16
442,3.089E-16
443,3.023E-16
444,2.958E-16
445,2.895E-16
446,2.833E-16
447,2.772E-16
448,2.713E-16
449,2.655E-16
450,2.598E-16
451,2.543E-16
452,2.489E-16
453,2.436E-16
454,2.384E-16
455,2.334E-16
456,2.284E-16
457,2.236E-16
458,2.189E-16
459,2.143E-16
460,2.097E-16
461,2.053E-16
462,2.01E-16
463,1.968E-16
464,1.927E-16
465,1.886E-16
466,1.847E-16
467,1.808E-16
468,1.77E-16
469,1.734E-16
470,1.697E-16
471,1.662E-16
472,1.628E-16
473,1.594E-16
474,1.561E-16
475,1.528E-16
476,1.497E-16
477,1.466E-16
478,1.436E-16
479,1.406E-16
480,1.377E-16
481,1.349E-16
482,1.321E-16
483,1.294E-16
484,1.268E-16
485,1.242E-16
486,1.216E-16
487,1.192E-16
488,1.167E-16
489,1.144E-16
490,1.12E-16
491,1.098E-16
492,1.076E-16
493,1.054E-16
494,1.033E-16
495,1.012E-16
496,9.914E-17
497,9.715E-17
498,9.52E-17
499,9.329E-17
500,9.143E-17
501,8.96E-17
502,8.782E-17
503,8.607E-17
504,8.436E-17
505,8.269E-17
506,8.105E-17
507,7.945E-17
508,7.788E-17
509,7.634E-17
510,7.484E-17
511,7.337E-17
512,7.194E-17
513,7.053E-17
514,6.915E-17
515,6.78E-17
516,6.648E-17
517,6.519E-17
518,6.393E-17
519,6.269E-17
520,6.148E-17
521,6.029E-17
522,5.913E-17
523,5.8E-17
524,5.689E-17
525,5.58E-17
526,5.473E-17
527,5.369E-17
528,5.267E-17
529,5.167E-17
530,5.069E-17
531,4.973E-17
532,4.88E-17
533,4.788E-17
534,4.698E-17
535,4.61E-17
536,4.524E-17
537,4.439E-17
538,4.357E-17
539,4.276E-17
540,4.197E-17
541,4.119E-17
542,4.043E-17
543,3.969E-17
544,3.896E-17
545,3.825E-17
546,3.755E-17
547,3.687E-17
548,3.62E-17
549,3.554E-17
550,3.49E-17
551,3.427E-17
552,3.365E-17
553,3.305E-17
554,3.246E-17
555,3.188E-17
556,3.131E-17
557,3.076E-17
558,3.021E-17
559,2.968E-17
560,2.916E-17
561,2.865E-17
562,2.815E-17
563,2.766E-17
564,2.717E-17
565,2.67E-17
566,2.624E-17
567,2.579E-17
568,2.535E-17
569,2.491E-17
570,2.449E-17
571,2.407E-17
572,2.366E-17
573,2.326E-17
574,2.287E-17
575,2.249E-17
576,2.211E-17
577,2.174E-17
578,2.138E-17
579,2.103E-17
580,2.068E-17
581,2.034E-17
582,2.001E-17
583,1.968E-17
584,1.936E-17
585,1.904E-17
586,1.874E-17
587,1.843E-17
588,1.814E-17
589,1.785E-17
590,1.756E-17
591,1.729E-17
592,1.701E-17
593,1.674E-17
594,1.648E-17
595,1.622E-17
596,1.597E-17
597,1.572E-17
598,1.548E-17
599,1.524E-17
600,1.501E-17
601,1.478E-17
602,1.456E-17
603,1.434E-17
604,1.412E-17
605,1.391E-17
606,1.37E-17
607,1.35E-17
608,1.33E-17
609,1.31E-17
610,1.291E-17
611,1.272E-17
612,1.254E-17
613,1.235E-17
614,1.218E-17
615,1.2E-17
616,1.183E-17
617,1.166E-17
618,1.15E-17
619,1.133E-17
620,1.117E-17
621,1.102E-17
622,1.087E-17
623,1.072E-17
624,1.057E-17
625,1.042E-17
626,1.028E-17
627,1.014E-17
628,1E-17
629,9.87E-18
630,9.738E-18
631,9.609E-18
632,9.482E-18
633,9.357E-18
634,9.234E-18
635,9.114E-18
636,8.996E-18
637,8.88E-18
638,8.766E-18
639,8.654E-18
640,8.544E-18
641,8.436E-18
642,8.33E-18
643,8.226E-18
644,8.124E-18
645,8.023E-18
646,7.925E-18
647,7.828E-18
648,7.732E-18
649,7.639E-18
650,7.547E-18
651,7.456E-18
652,7.368E-18
653,7.28E-18
654,7.194E-18
655,7.11E-18
656,7.027E-18
657,6.946E-18
658,6.866E-18
659,6.787E-18
660,6.71E-18
661,6.634E-18
662,6.559E-18
663,6.486E-18
664,6.413E-18
665,6.342E-18
666,6.273E-18
667,6.204E-18
668,6.136E-18
